variable,importancia_permutacion_media,importancia_permutacion_std,n_filas_usadas,importancia_xgboost_nativa,importancia_subrogado_05,nombre_legible
RevolvingUtilizationOfUnsecuredLines,0.07816666666666665,0.012339863136284069,3000,0.19216856360435486,0.4914272380717048,Utilizacion de credito revolving
NumberOfTimes90DaysLate,0.06043333333333334,0.005717516943569129,3000,0.33013489842414856,0.1875226339698762,N. impagos 90+ dias
NumberOfTime60-89DaysPastDueNotWorse,0.04826666666666666,0.004373658524495126,3000,0.14932313561439514,0.0685181428759546,N. moras 60-89 dias
NumberOfTime30-59DaysPastDueNotWorse,0.037599999999999995,0.004386342439892266,3000,0.1298253983259201,0.2105196878173071,N. moras 30-59 dias
DebtRatio,0.01833333333333333,0.004770278351999555,3000,0.018407920375466347,0.0,Ratio de deuda
NumberOfOpenCreditLinesAndLoans,0.01773333333333333,0.009737442055169198,3000,0.021900342777371407,0.0004166803522831,N. lineas de credito abiertas
age,0.009966666666666662,0.009066973034039536,3000,0.023029372096061707,0.039214637913597,Edad
NumberRealEstateLoansOrLines,0.009133333333333327,0.004211624125889896,3000,0.0251120887696743,,N. hipotecas/lineas inmob.
MonthlyIncome,0.00086666666666666,0.0068104494875318,3000,0.013820337131619453,0.0023809789992769,Ingreso mensual
es_centinela_pastdue,0.00026666666666666505,0.00032659863237108843,3000,0.07154418528079987,,Centinela mora (flag)
is_missing_monthlyincome,5.551115123125783e-18,0.0025033311140691458,3000,0.011971523053944111,,Ingreso ausente (flag)
NumberOfDependents,-0.001266666666666666,0.0056011903496786565,3000,0.012762277387082577,,N. dependientes
