escenario,idx_caso,variable,nombre_legible,lime_peso_medio,lime_peso_std,shap_local,shap_std
coste10,976,NumberOfTime30-59DaysPastDueNotWorse,N. moras 30-59 dias,-0.052719577210557,0.0013103323681558,-0.2620273232460022,0.0
coste10,976,NumberRealEstateLoansOrLines,N. hipotecas/lineas inmob.,0.0012810872926802,0.001274436341748,-0.022455567494034767,0.0
coste10,976,is_missing_monthlyincome,Ingreso ausente (flag),0.0015491113705315,0.0009914471689569,0.012616042979061604,0.0
coste10,976,age,Edad,0.0058064945677364,0.0006769597526264,0.08428053557872772,0.0
coste10,976,MonthlyIncome,Ingreso mensual,-0.008201760959207,0.0006055625589049,-0.11375351250171661,0.0
coste10,14834,es_centinela_pastdue,Centinela mora (flag),-0.096030554171039,0.0297234826923128,-0.005931980442255735,0.0
coste10,14834,NumberOfTimes90DaysLate,N. impagos 90+ dias,-0.1741083339655661,0.0105534455798974,-0.17382203042507172,0.0
coste10,14834,NumberOfTime60-89DaysPastDueNotWorse,N. moras 60-89 dias,0.0727471438540685,0.0097682776324755,1.0147182941436768,0.0
coste10,14834,NumberOfOpenCreditLinesAndLoans,N. lineas de credito abiertas,0.020306884895559,0.0035541440319504,0.3034907877445221,0.0
coste10,14834,RevolvingUtilizationOfUnsecuredLines,Utilizacion de credito revolving,-0.0330230380767416,0.0020431957233431,-0.517824649810791,0.0
coste10,14834,NumberOfDependents,N. dependientes,0.0031935778421547,0.0020036639323159,0.004718407988548279,0.0
coste10,14834,is_missing_monthlyincome,Ingreso ausente (flag),0.0016532073426069,0.0016548147485176,0.012301689013838768,0.0
coste10,14834,NumberRealEstateLoansOrLines,N. hipotecas/lineas inmob.,0.0018713316774806,0.0016013659313648,-0.017706861719489098,0.0
coste10,14834,DebtRatio,Ratio de deuda,-0.0049723477661686,0.0015412656998678,0.07487265020608902,0.0
coste10,14834,age,Edad,0.0058313132264444,0.0013004984261939,0.08517114818096161,0.0
coste10,14834,MonthlyIncome,Ingreso mensual,0.0024386656339475,0.0012506711938204,0.06298453360795975,0.0
coste10,14834,NumberOfTime30-59DaysPastDueNotWorse,N. moras 30-59 dias,0.0518551152469285,0.0012264166555912,0.8746595978736877,0.0
coste10,17133,es_centinela_pastdue,Centinela mora (flag),-0.104467786463663,0.0335310902356974,-0.008981430903077126,0.0
coste10,17133,NumberOfTimes90DaysLate,N. impagos 90+ dias,-0.1751708499778685,0.0105573220485171,-0.217804953455925,0.0
coste10,17133,NumberOfTime60-89DaysPastDueNotWorse,N. moras 60-89 dias,-0.0729060851492477,0.0096740146645437,-0.11923250555992126,0.0
coste10,17133,NumberOfOpenCreditLinesAndLoans,N. lineas de credito abiertas,0.0217386543870964,0.0032379849475952,0.29717737436294556,0.0
coste10,17133,DebtRatio,Ratio de deuda,0.0125342285827501,0.0026425918151719,0.33060717582702637,0.0
coste10,17133,RevolvingUtilizationOfUnsecuredLines,Utilizacion de credito revolving,0.0748829612490634,0.0019408083453498,0.7447504997253418,0.0
coste10,17133,NumberOfDependents,N. dependientes,0.0032475742466462,0.0015659510146188,0.0024827865418046713,0.0
coste10,17133,MonthlyIncome,Ingreso mensual,-0.0045781085955927,0.0014740740900489,-0.056248124688863754,0.0
coste10,17133,NumberOfTime30-59DaysPastDueNotWorse,N. moras 30-59 dias,0.0533809356546932,0.0014415607280272,1.1536468267440796,0.0
coste10,17133,NumberRealEstateLoansOrLines,N. hipotecas/lineas inmob.,0.0014674677278083,0.0013261236902096,-0.019498083740472794,0.0
coste10,17133,is_missing_monthlyincome,Ingreso ausente (flag),-0.0012602847646502,0.0010882615899327,-0.049327652901411057,0.0
coste10,17133,age,Edad,0.0058595480933092,0.0005709268305698,0.026500532403588295,0.0
