subrogado,n_hojas,deny_caja_negra,deny_subrogado,fidelidad_global,fid_denegar,prec_denegar,f1_denegar
coste1 operativo (d5),23,0.023761904761904762,0.025857142857142856,0.987904761904762,0.7895791583166333,0.7255985267034991,0.7562380038387716
coste1 bolsillo (d3),8,0.023761904761904762,0.03528571428571429,0.9808571428571429,0.8396793587174348,0.5654520917678812,0.6758064516129032
coste10 operativo (d5),23,0.18695238095238095,0.18761904761904763,0.9415238095238095,0.8453897096281202,0.8423857868020305,0.8438850750063565
coste10 bolsillo (d3),8,0.18695238095238095,0.11961904761904762,0.9173333333333333,0.5988283239938869,0.9359076433121019,0.7303510406958683
