,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],odds_ratio
Intercept,-0.978031972022495,0.04389510314351808,-22.281117983132464,5.633414438064989e-110,-1.0640647932814613,-0.8919991507635286,0.37605044888635075
is_missing_monthlyincome,-0.08880849537561067,0.0354536805349151,-2.504916105625515,0.012248044124684518,-0.15829643234343302,-0.01932055840778832,0.9150207875089975
is_missing_numberofdependents,-0.1530940290926755,0.09704760460963256,-1.5775147641045433,0.11467712765044286,-0.34330383891343863,0.03711578072808766,0.8580490364456993
age,-0.03333649442528181,0.0009140886819673095,-36.46965013671838,3.358684226510673e-291,-0.035128075320613426,-0.031544913529950196,0.9672130430278106
