max_depth,prof_real,n_hojas,fidelidad_global,fid_conceder,fid_denegar,f1_denegar,prec_denegar
2,2,4,0.8561428571428571,0.8530803375445101,0.9819639278557114,0.24493876530867284,0.13992004568817817
3,3,8,0.9620952380952381,0.9631725281693576,0.9178356713426854,0.5350467289719626,0.37757625721352017
4,4,15,0.9519047619047619,0.951417004048583,0.9719438877755511,0.4898989898989899,0.3274814314652262
5,5,23,0.9550952380952381,0.9542461343349105,0.9899799599198397,0.5116519937856033,0.34497206703910616
6,6,31,0.9539047619047619,0.9528803473001317,0.9959919839679359,0.5066258919469928,0.3397129186602871
8,8,34,0.9539047619047619,0.9528803473001317,0.9959919839679359,0.5066258919469928,0.3397129186602871
10,8,34,0.9539047619047619,0.9528803473001317,0.9959919839679359,0.5066258919469928,0.3397129186602871
None,8,34,0.9539047619047619,0.9528803473001317,0.9959919839679359,0.5066258919469928,0.3397129186602871
