variable,imp_coste1,imp_coste10
Utilizacion de credito revolving,0.03970087670841614,0.4914272380717048
N. moras 30-59 dias,0.07344854954196799,0.21051968781730715
N. impagos 90+ dias,0.7155413218739539,0.18752263396987623
N. moras 60-89 dias,0.12189735866590755,0.06851814287595467
Edad,0.016543677447052752,0.03921463791359705
Ingreso mensual,0.0031939437718202027,0.002380978999276971
N. lineas de credito abiertas,0.020785957916107333,0.0004166803522831172
Ratio de deuda,0.008888314074774115,0.0
