familia,modelo,coste_cv,umbral,auc_contexto,tasa_denegacion_cv,mejora_vs_conceder_todo,notas
boosted,xgboost,0.33435714285714285,0.0906091257929802,0.8641542282816238,0.18367857142857144,0.4997149982187389,
bandit,linucb,0.35017857142857145,,,0.1663690476190476,0.47604203776273596,greedy accion; LinUCB es LINEAL
lineal,logistica,0.3513452380952381,0.09401805435763713,0.8514738219059369,0.18036904761904762,0.4742964018525116,
baseline,conceder_todo,0.6683333333333333,,,0.0,0.0,baseline trivial
baseline,denegar_todo,0.9331666666666667,,,1.0,-0.39625935162094766,baseline trivial
