escenario,idx_caso,variable,peso_medio,peso_std,peso_min,peso_max,k_reejecuciones,nombre_legible
coste1,19825,es_centinela_pastdue,-0.10841791415873588,0.032709363813505934,-0.16083165226659105,-0.06384080635400355,6,Centinela mora (flag)
coste1,19825,NumberOfTimes90DaysLate,-0.1752032591473498,0.01079251992860578,-0.19294330154155898,-0.15932444527318626,6,N. impagos 90+ dias
coste1,19825,NumberOfTime60-89DaysPastDueNotWorse,-0.07335406995220081,0.00950607864495166,-0.09379116144821681,-0.06619598055517228,6,N. moras 60-89 dias
coste1,19825,NumberOfOpenCreditLinesAndLoans,0.022335142731253792,0.0029961474551594104,0.018487119590987297,0.02657188075553825,6,N. lineas de credito abiertas
coste1,19825,DebtRatio,0.012826295683802195,0.002464215376199362,0.008969826144033004,0.016164153266068293,6,Ratio de deuda
coste1,19825,age,0.027385398075555286,0.0020159832963009996,0.02485540105647936,0.03030827099446033,6,Edad
coste1,19825,RevolvingUtilizationOfUnsecuredLines,0.07553851069711633,0.001600407212334773,0.07287816259488053,0.0777623558542393,6,Utilizacion de credito revolving
coste1,19825,NumberOfTime30-59DaysPastDueNotWorse,0.05421547601801274,0.0012106638415100906,0.05272918526881671,0.05580966825037355,6,N. moras 30-59 dias
coste1,19825,NumberOfDependents,-0.002911125909229851,0.001190229858922565,-0.004960920448323128,-0.0012334984886681983,6,N. dependientes
coste1,19825,NumberRealEstateLoansOrLines,0.0016112553148024227,0.0011570631593714584,0.0002103078180656277,0.003829631856182616,6,N. hipotecas/lineas inmob.
coste1,19825,is_missing_monthlyincome,0.0017304557270529477,0.0010604763290964587,-3.959298145007016e-05,0.0032416931180990253,6,Ingreso ausente (flag)
coste1,19825,MonthlyIncome,0.010988667366685424,0.0007153116891361423,0.009953127763289955,0.012298155212995704,6,Ingreso mensual
coste1,3665,es_centinela_pastdue,-0.1002738450515928,0.030641973134099686,-0.1524618087642795,-0.054018159568518756,6,Centinela mora (flag)
coste1,3665,NumberOfTimes90DaysLate,0.17549937726161358,0.010499345745701324,0.16095384878359825,0.19312917917866418,6,N. impagos 90+ dias
coste1,3665,NumberOfTime60-89DaysPastDueNotWorse,0.07503052522031138,0.009831390513161654,0.06516919106456376,0.09497273872277356,6,N. moras 60-89 dias
coste1,3665,age,0.027643382030292523,0.003272588274553082,0.024312498030850567,0.0329374149461731,6,Edad
coste1,3665,NumberOfOpenCreditLinesAndLoans,-0.011730858990283676,0.0022171537655183275,-0.014427388869838721,-0.008669469474433152,6,N. lineas de credito abiertas
coste1,3665,NumberOfDependents,0.004383997097271229,0.0020127176178206317,0.00135568825401733,0.007190042309666979,6,N. dependientes
coste1,3665,is_missing_monthlyincome,0.001876241128635315,0.0018455094664609352,-0.0010923916256022428,0.004674917646890337,6,Ingreso ausente (flag)
coste1,3665,DebtRatio,0.002264045954090258,0.0017620855173849216,-0.00036868724908255187,0.005116706439778248,6,Ratio de deuda
coste1,3665,NumberOfTime30-59DaysPastDueNotWorse,0.05265810872551114,0.0016548628647454532,0.0509013514521548,0.05539828057390117,6,N. moras 30-59 dias
coste1,3665,NumberRealEstateLoansOrLines,-0.0030406001982838837,0.001520297183419403,-0.005080740194862919,-0.0013084743795492358,6,N. hipotecas/lineas inmob.
coste1,3665,MonthlyIncome,0.0028298956850956454,0.0014688188052923378,0.0009229965632030265,0.004994396278387851,6,Ingreso mensual
coste1,3665,RevolvingUtilizationOfUnsecuredLines,-0.03483458903603407,0.0014050514277935413,-0.0373473197786111,-0.032915438925843886,6,Utilizacion de credito revolving
coste1,11076,es_centinela_pastdue,-0.1063906718361997,0.03084468638600173,-0.16068941308731127,-0.06621701614254294,6,Centinela mora (flag)
coste1,11076,NumberOfTimes90DaysLate,0.1750325715927609,0.01101301171388067,0.158344989449671,0.1930407232519883,6,N. impagos 90+ dias
coste1,11076,NumberOfTime60-89DaysPastDueNotWorse,-0.07310515247248865,0.009143610310693186,-0.09279016476997878,-0.06622191559986539,6,N. moras 60-89 dias
coste1,11076,age,0.027104179997981714,0.0023499027375116837,0.023676603828688133,0.030389323066607667,6,Edad
coste1,11076,NumberOfOpenCreditLinesAndLoans,-0.012047494081668622,0.002106032409627486,-0.014342580141802692,-0.008877614934650687,6,N. lineas de credito abiertas
coste1,11076,RevolvingUtilizationOfUnsecuredLines,0.07447021904055377,0.0018812364797684894,0.07154617776787876,0.07707149645412827,6,Utilizacion de credito revolving
coste1,11076,DebtRatio,-0.009855977596140972,0.0016902663744531496,-0.013009100453939156,-0.007952825598339618,6,Ratio de deuda
coste1,11076,is_missing_monthlyincome,0.0011544663445023481,0.0014974676327445915,-0.0011705940199520262,0.002947870716783466,6,Ingreso ausente (flag)
coste1,11076,NumberOfTime30-59DaysPastDueNotWorse,0.05314628205020285,0.0014295482827828177,0.050653742474099275,0.054731185207151145,6,N. moras 30-59 dias
coste1,11076,NumberOfDependents,-0.0028585714818889153,0.0013149044092324851,-0.005185061147783966,-0.0012267467970557963,6,N. dependientes
coste1,11076,NumberRealEstateLoansOrLines,-0.0017837477087173492,0.001155072700376253,-0.002812396800684835,3.6775288989608474e-05,6,N. hipotecas/lineas inmob.
coste1,11076,MonthlyIncome,0.00303158895840059,0.0011297553451580713,0.0010273736774606289,0.004362808669008134,6,Ingreso mensual
coste10,976,es_centinela_pastdue,-0.10672437137539426,0.03566808158724562,-0.16965868731374636,-0.0630169890117417,6,Centinela mora (flag)
coste10,976,NumberOfTimes90DaysLate,-0.17460601268131357,0.009957805709989286,-0.1913206241394148,-0.16072257886103264,6,N. impagos 90+ dias
coste10,976,NumberOfTime60-89DaysPastDueNotWorse,-0.07269673368395856,0.008820976409304323,-0.09162891393686359,-0.06653147127571317,6,N. moras 60-89 dias
coste10,976,NumberOfOpenCreditLinesAndLoans,0.02124558523750995,0.0032615748025601353,0.016696274236903227,0.02510581553551682,6,N. lineas de credito abiertas
coste10,976,DebtRatio,0.012147397349641924,0.0024659658759811818,0.008518444068043033,0.015259958156183128,6,Ratio de deuda
coste10,976,RevolvingUtilizationOfUnsecuredLines,0.07369153820058114,0.0019119474176647177,0.0706278322844409,0.07610101251483997,6,Utilizacion de credito revolving
coste10,976,NumberOfDependents,0.003005696437014123,0.0015232268339728074,0.0014920220542279504,0.005403597364078812,6,N. dependientes
coste10,976,NumberOfTime30-59DaysPastDueNotWorse,-0.05271957721055704,0.0013103323681558437,-0.05416931728197333,-0.05085362576291498,6,N. moras 30-59 dias
coste10,976,NumberRealEstateLoansOrLines,0.0012810872926802086,0.0012744363417480612,0.00018716712222570156,0.004001718222940237,6,N. hipotecas/lineas inmob.
coste10,976,is_missing_monthlyincome,0.0015491113705315138,0.0009914471689569189,-0.0004166782414218247,0.0026545898253970603,6,Ingreso ausente (flag)
coste10,976,age,0.005806494567736427,0.0006769597526264565,0.005076730176650295,0.006757379220754846,6,Edad
