escenario,C_FP,C_FN,familia_ganadora,umbral_optimo,umbral_analitico,coste_cv,coste_test,coste_conceder_todo,coste_denegar_todo,tasa_denegacion_test,mejora_rel_vs_conceder_todo
coste1,1.0,1.0,boosted,0.4933944046497345,0.5,0.0622857142857142,0.0633809523809523,0.0668571428571428,0.9331428571428572,0.0237619047619047,0.0519943019943018
coste10,1.0,10.0,boosted,0.0906091257929802,0.09090909090909091,0.33435714285714285,0.32752380952380955,0.6685714285714286,0.9331428571428572,0.18695238095238095,0.51011396011396
