peso,max_depth,n_hojas,tasa_deny_sub,fidelidad_global,fid_denegar,prec_denegar,f1_denegar
sin_peso,3,8,0.11961904761904762,0.9173333333333333,0.5988283239938869,0.9359076433121019,0.7303510406958683
sin_peso,4,15,0.20919047619047618,0.9289047619047619,0.869332654100866,0.7769178238106078,0.8205313138598389
sin_peso,5,23,0.18761904761904763,0.9415238095238095,0.8453897096281202,0.8423857868020305,0.8438850750063565
sin_peso,6,32,0.17061904761904761,0.9467142857142857,0.8138053998981152,0.8917108568238906,0.8509788254095086
peso_2,3,8,0.2158095238095238,0.911047619047619,0.8392766174223127,0.7270520741394528,0.7791440056751004
peso_2,4,16,0.2129047619047619,0.927,0.8741721854304636,0.7676135092820399,0.8174347981421937
peso_2,5,26,0.2129047619047619,0.9335714285714286,0.89174732552216,0.7830462983672557,0.8338692390139335
peso_2,6,39,0.20847619047619048,0.937047619047619,0.8892002037697402,0.797396071265418,0.8407996146435452
peso_3,3,8,0.23233333333333334,0.9051904761904762,0.8678043810494142,0.698298831727813,0.7738784781374219
peso_3,4,15,0.2159047619047619,0.9295238095238095,0.8889454915944982,0.7697397441552712,0.8250591016548463
peso_3,5,26,0.21847619047619046,0.9320952380952381,0.9026999490575649,0.7724498692240628,0.8325111580925535
peso_3,6,38,0.2306190476190476,0.9303333333333333,0.9304635761589404,0.7542845343795168,0.8331622762002509
balanced,3,8,0.23385714285714285,0.9043333333333333,0.869587366276108,0.6951740989615149,0.772660405114858
balanced,4,16,0.24895238095238095,0.9095238095238095,0.9238410596026491,0.6937643458301453,0.7924404631854927
balanced,5,27,0.24528571428571427,0.9176666666666666,0.9358125318390219,0.7132595612502427,0.8095185634020051
balanced,6,40,0.24195238095238095,0.923952380952381,0.9437086092715232,0.7291871678803385,0.8226934606417231
