familia,modelo,coste_cv,umbral,auc_contexto,tasa_denegacion_cv,mejora_vs_conceder_todo,notas
boosted,xgboost,0.062285714285714285,0.4933944046497345,0.8641542282816238,0.02326190476190476,0.06804417527609542,
neuronal,mlp_pequena,0.06244047619047619,0.4890609383583069,0.86172579597985,0.020083333333333335,0.06572853580334867,
neuronal,mlp_profunda,0.06261904761904762,0.47592073678970337,0.8629657206150473,0.018452380952380953,0.06305664410402562,
lineal,logistica,0.06291666666666666,0.48369342673032034,0.8514738219059369,0.020511904761904762,0.058603491271820435,
bandit,linucb,0.06292857142857143,,,0.021380952380952382,0.05842536515853213,greedy accion; LinUCB es LINEAL
baseline,conceder_todo,0.06683333333333333,,,0.0,0.0,baseline trivial
baseline,denegar_todo,0.9331666666666667,,,1.0,-12.962593516209479,baseline trivial
