,componente,varianza_individual,varianza_acumulada
0,PC1,0.29951932810514525,0.29951932810514525
1,PC2,0.15335768574492867,0.45287701385007395
2,PC3,0.12368526002205263,0.5765622738721266
3,PC4,0.10203643805072901,0.6785987119228556
4,PC5,0.0997161138430623,0.7783148257659179
5,PC6,0.09259887325433999,0.870913699020258
6,PC7,0.07239248551754644,0.9433061845378043
7,PC8,0.054314147913151076,0.9976203324509554
8,PC9,0.001705434885118005,0.9993257673360734
9,PC10,0.0006742326639265882,1.0
